name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistance,description,source
Barrera de Hoja,Evocación,,Fuerza,"Clérigo 6, Oráculo 6, Inquisidor 6, Ocultista 6, Psíquico 6",1 Acción estándar,"V, S",0,Medio (100 pies + 10 pies/nivel),,"muro de hojas giratorias de hasta 20 pies de largo/nivel, o un muro anillado de hojas giratorias con un radio de hasta 5 pies por dos niveles; Cualquiera de las formas mide 20 pies de altura",,1 min./nivel (D),1,0,Reflejo o Reflejo anula; Ver texto,Sí,"Una cortina vertical e inmóvil de hojas giratorias con forma de pura fuerza surge en la existencia. Cualquier criatura que atraviese la pared recibe 1d6 puntos de daño por nivel de lanzador (máximo 15d6), con una tirada de salvación de Reflejos para la mitad de daño. Si evocas la barrera para que aparezca donde están las criaturas, cada criatura recibe daño como si atravesara la pared. Cada criatura puede evitar el muro (acabando en el lado que prefiera) y por tanto no recibir daño si realiza una tirada de salvación de Reflejos exitosa. Una barrera de hoja proporciona cobertura (+4 de bonificación a la CA, +2 de bonificación en tiradas de salvación de Reflejos) contra ataques realizados a través de ella.",PFRPG Core
Blasfemia,Evocación,,"Malvado, Sonic","Clérigo 7, Oráculo 7, Inquisidor 6",1 Acción estándar,V,0,40 pies.,criaturas no malvadas en un radio de 40 pies centrado en ti,,,instantáneo,0,0,Will parcial,Sí,"Cualquier criatura no maligna dentro del área de un hechizo de blasfemia sufre los siguientes efectos negativos. Efecto de HD Igual al nivel del lanzador Aturdido hasta nivel de lanzador -1 Debilitado, aturdido Hasta nivel de lanzador -5 Paralizado, debilitado, aturdido Hasta nivel de lanzador -10 Muerto, paralizado, debilitado, aturdido Los efectos son acumulativos y simultáneos. Una tirada de salvación exitosa de Voluntad reduce o elimina estos efectos. Las criaturas afectadas por múltiples efectos solo hacen una tirada de salvación y aplican el resultado a todos los efectos. Aturdida: La criatura no puede realizar ninguna acción durante 1 ronda, aunque se defiende normalmente. Salvación anula. Debilitado: La puntuación de Fuerza de la criatura disminuye en 2d6 puntos durante 2d4 rondas. Salvo la mitad. Paralizada: La criatura queda paralizada e indefensa durante 1d10 minutos. La tirada de salvación reduce el efecto de parálisis a 1 ronda. Muertos: Los seres vivos mueren. Las criaturas no muertas son destruidas. Salvación anula. Si la tirada de salvación tiene éxito, la criatura recibe 3d6 puntos de daño + 1 punto por nivel del lanzador (máximo +25). Además, si estás en tu plano natal cuando lanzas este hechizo, las criaturas extraplanares no malvadas de la zona son desterradas instantáneamente de vuelta a sus planos de origen. Las criaturas desterradas no pueden regresar al menos hasta dentro de 24 horas. Este efecto ocurre independientemente de si las criaturas oyen o no la blasfemia. El efecto de destierro permite que una tirada de salvación de Voluntad (con una penalización de -4) se anule. Las criaturas cuyos dados de vida superan tu nivel de lanzador no se ven afectadas por la blasfemia.",PFRPG Core
Sangrado,Nigromancia,,,"Clérigo 0, Oráculo 0, Inquisidor 0, Hechicero 0, Mago 0, Bruja 0, Chamán 0, Ocultista 0, Psíquico 0, Mesmerista 0, Espiritualista 0, Medium 0",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,Un ser vivo,instantáneo,0,0,La voluntad niega,Sí,"Haces que una criatura viviente que está por debajo de 0 puntos de vida pero estabilizada vuelva a morir. Al lanzar este hechizo, apuntas a una criatura viva que tenga -1 o menos puntos de vida. Esa criatura empieza a morir, recibiendo 1 punto de daño por ronda. La criatura puede estabilizarse más adelante normalmente. Este hechizo hace que una criatura que está muriendo reciba 1 punto de daño.",PFRPG Core
Bendita sea,Encantamiento,Compulsión,afectación mental,"Clérigo 1, Oráculo 1, Paladín 1, Inquisidor 1, Chamán 1",1 Acción estándar,"V, S, DF",0,50 pies.,"El lanzador y todos los aliados en una ráfaga de 50 pies, centrados en el lanzador",,,1 min./nivel,0,0,ninguno,Sí (inofensivo),Bendecir llena a tus aliados de valor. Cada aliado gana un bono de moral +1 en tiradas de ataque y en tiradas de salvación contra efectos de miedo. Bendecir contrarresta y disipa a la maldición.,PFRPG Core
Bendice el agua,Transmutación,,Bien,"Clérigo 1, Oráculo 1, Paladín 1, Inquisidor 1",1 minuto,"V, S, M (5 libras de plata en polvo valoradas en 25 gp)",1,Toque,,,Un termo de agua tocado,instantáneo,0,0,Negación de voluntad (objeto),sí (objeto),"Esta transmutación imbuye un frasco (1 pinta) de agua con energía positiva, convirtiéndola en agua bendita.",PFRPG Core
Arma de bendición,Transmutación,,,Paladín 1,1 Acción estándar,"V, S",0,Toque,,,Arma tocada,1 min./nivel,0,0,ninguno,no,"Esta transmutación hace que un arma golpee de lleno contra enemigos malvados. El arma se trata como si tuviera un bono de mejora +1 para evitar la reducción de fuerza de las criaturas malignas o golpear a criaturas incorpóreas malignas (aunque el hechizo no otorga un bono real de mejora). El arma también se vuelve alineada con el bien, lo que significa que puede saltarse la reducción de daño de ciertas criaturas. (Este efecto anula y suprime cualquier otra alineación que el arma pueda tener.) Las flechas o virotes individuales pueden transmutarse, pero las armas de proyectiles afectadas (como los arcos) no otorgan el beneficio de los proyectiles que disparan. Además, todas las tiradas de golpe crítico contra enemigos malvados son automáticamente exitosas, por lo que cada amenaza es un golpe crítico. Este último efecto no se aplica a ningún arma que ya tenga un efecto mágico relacionado con golpes críticos, como un arma afiada o una espada vorpal.",PFRPG Core
Plaga,Nigromancia,,,"Druida 4, Hechicero 5, Mago 5, Bruja 5, Chamán 5",1 Acción estándar,"V, S, DF",0,Toque,,,Planta tocada,instantáneo,0,0,Fortaleza media; Ver texto,Sí,Este hechizo marchita una sola planta de cualquier tamaño. Una criatura vegetal afectada recibe 1d6 puntos de daño por nivel (máximo 15d6) y puede intentar una tirada de salvación de Fortaleza para la mitad de daño. Una planta que no es una criatura no recibe tirada de salvación y se marchita y muere inmediatamente. Este hechizo no tiene efecto sobre el suelo ni sobre la vegetación circundante.,PFRPG Core
Ceguera/sordera,Nigromancia,,,"Antipaladín 2, Bardo 2, Clérigo 3, Oráculo 3, Hechicero 2, Mago 2, Bruja 2, Bruto de sangre 2, Chamán 3, Psíquico 2, Mesmerista 2, Espiritualista 3",1 Acción estándar,V,0,Medio (100 pies + 10 pies/nivel),,,Un ser vivo,permanente (D),1,0,La fortaleza anula,Sí,"Invocas los poderes de la no-vida para cegar o ensordecer al sujeto, según elijas.",PFRPG Core
Parpadear,Transmutación,,,"Bardo 3, Hechicero 3, Mago 3, Mago 3, Psíquico 3",1 Acción estándar,"V, S",0,Vida personal,,,tú,1 ronda/nivel (D),1,0,,,"Parpadeas rápidamente entre el Plano Material y el Plano Etéreo y parece que apareces y desapareces de la realidad al azar. Parpadeo tiene varios efectos, como sigue. Los ataques físicos contra ti tienen un 50% de probabilidad de fallar, y la dote Lucha a ciegas no ayuda a los oponentes, ya que eres etéreo y no simplemente invisible. Si el ataque es capaz de golpear a criaturas etéreas, la probabilidad de fallar es solo del 20% (para ocultamiento). Si el atacante puede ver criaturas invisibles, la probabilidad de fallar también es solo del 20%. (Para un atacante que puede ver y golpear criaturas etéreas, no hay oportunidad de fallar.) Del mismo modo, tus propios ataques tienen un 20% de probabilidad de fallar, ya que a veces te vuelves etéreo justo cuando estás a punto de atacar. Cualquier hechizo dirigido individualmente tiene un 50% de probabilidad de fallar contra ti mientras parpadea, a menos que tu atacante pueda atacar criaturas invisibles y etéreas. Tus propios hechizos tienen un 20% de probabilidad de activarse justo cuando te vuelves etéreo, en cuyo caso normalmente no afectan al Plano Material (pero sí pueden afectar a los objetivos en el Plano Etéreo). Mientras parpadeabas, recibes solo la mitad del daño de los ataques de área (pero el daño completo de los que se extienden al Plano Etéreo). Aunque solo eres parcialmente visible, no se te considera invisible y los objetivos conservan su bonificación de Destreza a CA contra tus ataques. Recibes un bono de +2 por tiradas de ataque contra enemigos que no pueden ver criaturas invisibles. Solo recibes la mitad del daño por caer, ya que solo caes mientras eres material. Mientras parpadeabas, puedes atravesar (pero no ver a través) de objetos sólidos. Por cada metro y medio de material sólido que atraviesas, hay un 50% de probabilidad de que te conviertas en material. Si esto ocurre, te envian al espacio abierto más cercano y recibes 1d6 puntos de daño por cada 5 pies recorridos. Como pasas aproximadamente la mitad del tiempo en el Plano Etéreo, puedes ver e incluso atacar criaturas etéreas. Interactúas con criaturas etéreas de forma similar a como interactúas con las materiales. Una criatura etérea es invisible, incorpórea y capaz de moverse en cualquier dirección, incluso arriba o abajo. Como criatura incorpórea, puedes moverte a través de objetos sólidos, incluidos seres vivos. Una criatura etérea puede ver y oír el Plano Material, pero todo parece gris e insustancial. La vista y la audición en el Plano Material están limitadas a 60 pies. Los efectos de la Fuerza y las abjuraciones te afectan normalmente. Sus efectos se extienden al Plano Etéreo desde el Plano Material, pero no al revés. Una criatura etérea no puede atacar a criaturas materiales, y los hechizos que lanzas mientras es etéreo solo afectan a otras cosas etéreas. Ciertas criaturas materiales u objetos tienen ataques o efectos que funcionan en el Plano Etéreo. Trata a otras criaturas y objetos etéreos como materiales.",PFRPG Core
Blur,Ilusión,glamer,,"Bardo 2, Hechicero 2, Mago 2, Invocador 2, Invocador Desencadenado 2, Alquimista 2, Mago 2, Ocultista 2, Psíquico 2, Mesmerista 2, Espiritualista 2, Medium 2",1 Acción estándar,V,0,Toque,,,criatura tocada,1 min./nivel,1,0,Negaciones de voluntad (inofensivas),Sí (inofensivo),"El contorno del sujeto aparece borroso, cambiante y vacilante. Esta distorsión otorga al sujeto ocultación (20% de probabilidad de fallar). Un hechizo de ver invisibilidad no contrarresta el efecto de desenfoque, pero un hechizo de visión verdadera sí. Los oponentes que no pueden ver al sujeto ignoran el efecto del hechizo (aunque luchar contra un oponente invisible conlleva penalizaciones propias).",PFRPG Core
Romper encantamiento,Abjuración,,,"Bardo 4, Clérigo 5, Oráculo 5, Paladín 4, Hechicero 5, Mago 5, Bruja 5, Inquisidor 5, Chamán 5, Ocultista 4, Psíquico 4, Mesmerista 4, Espiritualista 5, Medium 4",1 minuto,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,"Hasta una criatura por nivel, todas a menos de 30 pies entre sí",instantáneo,0,0,Ver texto,no,"Este hechizo libera a las víctimas de encantamientos, transmutaciones y maldiciones. Romper encantamiento puede revertir incluso un efecto instantáneo. Para cada efecto así, haces una tirada de nivel de lanzador (1d20 + nivel de lanzador, máximo +15) contra una CD de 11 + nivel de lanzador del efecto. El éxito significa que la criatura queda libre del hechizo, maldición o efecto. Para un objeto mágico maldito, la CD es igual a la CD de la maldición. Si el hechizo no puede disiparse con disipar magia o piedra en carne, romper encantamiento solo funciona si ese hechizo es de nivel 5 o inferior. Si el efecto proviene de un objeto mágico permanente, romper encantamiento no elimina la maldición del objeto, pero sí libera a la víctima de los efectos del objeto.",PFRPG Core
Aliento de vida,Conjuración,Sanación,,"Clérigo 5, Oráculo 5, Chamán 5, Espiritualista 5",1 Acción estándar,"V, S",0,Toque,,,criatura tocada,instantáneo,0,0,"Voluntad niega (inofensivo) o Voluntad a medias, ver texto","sí (inofensivo) o sí, ver el texto","Este hechizo cura 5d8 puntos de daño + 1 punto por nivel del lanzador (máximo +25). A diferencia de otros hechizos que curan daño, aliento de vida puede devolver la vida a criaturas recién derrotadas. Si se lanza sobre una criatura que ha muerto en un solo turno, aplica la curación de este hechizo a la criatura. Si el total de puntos de vida de la criatura curada es una cantidad negativa inferior a su puntuación de Constitución, vuelve a la vida y se estabiliza en su nuevo total de puntos de vida. Si el total de puntos de vida de la criatura es igual o superior a su puntuación de Constitución, la criatura permanece muerta. Las criaturas que vuelven a la vida mediante aliento de vida adquieren un nivel negativo temporal que dura 1 día. Las criaturas asesinadas por los efectos de la muerte no pueden salvarse con el aliento de vida. Al igual que los hechizos de curación, aliento de vida causa daño a criaturas no muertas en lugar de curarlas, y no puede devolverlas a la vida.",PFRPG Core
La fuerza del toro,Transmutación,,,"Clérigo 2, Oráculo 2, Druida 2, Paladín 2, Hechicero 2, Mago 2, Invocador 2, Invocador Desencadenado 2, Alquimista 2, Antipaladín 2, Mago 2, Bruto de sangre 2, Chamán 2, Psíquico 2, Medium 2",1 Acción estándar,"V, S, M/DF (unos pocos pelos, o una pizca de estiércol, de un toro)",0,Toque,,,criatura tocada,1 min./nivel,0,0,Negaciones de voluntad (inofensivas),Sí (inofensivo),"El sujeto se vuelve más fuerte. El hechizo otorga un bono de mejora +4 a Fuerza, añadiendo los beneficios habituales a tiradas de ataque cuerpo a cuerpo, tiradas de daño cuerpo a cuerpo y otros usos del modificador de Fuerza.",PFRPG Core
"La fuerza del toro, la masa",Transmutación,,,"Clérigo 6, Oráculo 6, Druida 6, Hechicero 6, Mago 6, Invocador 4, Mago 6, Chamán 6, Psíquico 6, Invocador Desencadenado 6",1 Acción estándar,"V, S, M/DF (unos pocos pelos, o una pizca de estiércol, de un toro)",0,Cierre (25 pies + 5 pies/2 niveles),,,"Una criatura/nivel, y no hay dos que puedan estar a más de 30 pies de distancia",1 min./nivel,0,0,Negaciones de voluntad (inofensivas),Sí (inofensivo),"Este hechizo funciona como la fuerza del toro, excepto que afecta a varias criaturas.",PFRPG Core
Manos Ardientes,Evocación,,fuego,"Hechicero 1, Mago 1, bruja 1, Mago 1, Bruto de sangre 1, chamán 1, ocultista 1",1 Acción estándar,"V, S",0,15 pies.,Explosión en forma de cono,,,instantáneo,0,0,Mitad reflejo,Sí,Un cono de llamas abrasadoras brota de tus dedos. Cualquier criatura en la zona de las llamas consume 1d4 puntos de daño de fuego por nivel de lanzador (máximo 5d4). Los materiales inflamables arden si las llamas los tocan. Un personaje puede extinguir objetos en llamas como una acción de ronda completa.,PFRPG Core
Llama a Rayo,Evocación,,Electricidad,"Druida 3, Chamán 3, Ocultista 3",1 ronda,"V, S",0,Medio (100 pies + 10 pies/nivel),,una o más líneas verticales de rayo de 30 pies de longitud,,1 min./nivel,0,0,Mitad reflejo,Sí,"Inmediatamente después de completar el hechizo, y una vez por ronda después, puedes invocar un rayo vertical de 1,5 metros de ancho y 30 pies de largo que inflige 3d6 puntos de daño eléctrico. El rayo destella hacia abajo en un golpe vertical en el punto objetivo que elijas dentro del alcance del hechizo (medido desde tu posición en ese momento). Cualquier criatura en la casilla objetivo o en el camino del rayo se ve afectada. No hace falta llamar a un rayo de inmediato; Otras acciones, incluso lanzar conjuros, pueden realizarse primero. Cada ronda después de la primera puedes usar una acción estándar (concentrándote en el hechizo) para invocar un rayo. Puedes llamar un número total de virotes igual al nivel de lanzador (máximo 10 virotes). Si estás al aire libre y en una zona tormentosa —un chaparrón, nubes y viento, condiciones calurosas y nubladas, o incluso un tornado (incluyendo un torbellino formado por un djinn o un elemental de aire de al menos tamaño grande)— cada rayo inflige 3d10 puntos de daño eléctrico en lugar de 3d6. Este hechizo funciona tanto en interiores como bajo tierra, pero no bajo el agua.",PFRPG Core
Llama a la tormenta eléctrica,Evocación,,Electricidad,"Druida 5, Chamán 5, Ocultista 5",1 ronda,"V, S",0,largo (400 pies + 40 pies por nivel),,una o más líneas verticales de rayo de 30 pies de longitud,,1 min./nivel,0,0,Mitad reflejo,Sí,"Este hechizo funciona como invocar rayos, excepto que cada rayo inflige 5d6 puntos de daño eléctrico (o 5d10 si se crea en el exterior en una zona tormentosa), y puedes invocar un máximo de 15 rayos.",PFRPG Core
Animales tranquilos,Encantamiento,Compulsión,Emociones que afectan la mente,"Druida 1, Explorador 1, Chamán 1, Psíquico 1",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,animales a menos de 30 pies entre sí,1 min./nivel,0,0,La voluntad niega,Sí,"Este hechizo calma y silencia a los animales, volviéndolos dóciles e inofensivos. Solo los animales ordinarios (aquellos con puntuaciones de Inteligencia de 1 o 2) pueden verse afectados por este hechizo. Todos los sujetos deben ser del mismo tipo, y no dos deben estar a más de 30 pies de distancia. El número máximo de HD de animales que puedes afectar es igual a 2d4 + nivel de lanzador. Las criaturas afectadas permanecen donde están y no atacan ni huyen. No son indefensos y se defienden normalmente si son atacados. Cualquier amenaza rompe el hechizo sobre las criaturas amenazadas.",PFRPG Core
Emociones calmadas,Encantamiento,Compulsión,Emociones que afectan la mente,"Bardo 2, Clérigo 2, Oráculo 2, Inquisidor 2, Chamán 2, Ocultista 2, Psíquico 2, Mesmerista 2",1 Acción estándar,"V, S, DF",0,Medio (100 pies + 10 pies/nivel),criaturas en un radio de 20 pies,,,"concentración, hasta 1 ronda/nivel",1,0,La voluntad niega,Sí,"Este hechizo calma a criaturas agitadas. No tienes control sobre las criaturas afectadas, pero las emociones calmadas pueden impedir que las criaturas furiosas luchen o las alegres de disfrutar de la celebración. Las criaturas tan afectadas no pueden tomar acciones violentas (aunque sí pueden defenderse) ni hacer nada destructivo. Cualquier acción agresiva o daño infligido a una criatura calmada rompe inmediatamente el hechizo sobre todas las criaturas calmadas. Este hechizo suprime automáticamente (pero no elimina) cualquier bonificación de moral otorgada por conjuros como bendecir, buena esperanza y rabia, y también anula la habilidad de un bardo para inspirar valor o la ira de un bárbaro. También suprime cualquier efecto de miedo y elimina la condición de confusión de todos los objetivos. Mientras el hechizo dura, un hechizo, condición o efecto suprimido no tiene efecto. Cuando termina el hechizo de calmar emociones, el hechizo o efecto original vuelve a tomar el control de la criatura, siempre que su duración no haya expirado mientras tanto.",PFRPG Core
La Gracia del Gato,Transmutación,,,"Bardo 2, Druida 2, Explorador 2, Hechicero 2, Mago 2, Invocador 2, Invocador Desencadenado 2, Alquimista 2, Mago 2, Bruto de sangre 2, Psíquico 2, Mesmerista 2, Medium 2",1 Acción estándar,"V, S, M (pellizco de pelo de gato)",0,Toque,,,criatura tocada,1 min./nivel,0,0,Negaciones de voluntad (inofensivas),Sí,"La criatura transmutada se vuelve más ágil, ágil y ágil. El hechizo otorga un bono de mejora de +4 a Destreza, añadiendo los beneficios habituales a CA, tiradas de salvación de reflejos y otros usos del modificador de Destreza.",PFRPG Core
"Gracia del Gato, Misa",Transmutación,,,"Bardo 6, Druida 6, Hechicero 6, Mago 6, Invocador 4, Mago 6, Psíquico 6, Invocador Desencadenado 6",1 Acción estándar,"V, S, M (pellizco de pelo de gato)",0,Cierre (25 pies + 5 pies/2 niveles),,,"Una criatura/nivel, y no hay dos que puedan estar a más de 30 pies de distancia",1 min./nivel,0,0,Negaciones de voluntad (inofensivas),Sí,"Este hechizo funciona como la gracia de un gato, excepto que afecta a varias criaturas.",PFRPG Core
Causa miedo,Nigromancia,,"emoción, miedo, afectación mental","Antipaladín 1, Bardo 1, Clérigo 1, Oráculo 1, Inquisidor 1, Hechicero 1, Mago 1, Bruja 1, Bruto de sangre 1, Chamán 1, Ocultista 1, Psíquico 1, Mesmerista 1, Espiritualista 1, Medium 1",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,un ser vivo con 5 o menos de EH,1d4 rondas o 1 ronda; Ver texto,0,0,Will parcial,Sí,"La criatura afectada se asusta. Si el sujeto tiene éxito en una tirada de Voluntad, se agita durante 1 ronda. Las criaturas con 6 o más de HD son inmunes a este efecto. Porque el miedo contrarresta y disipa el miedo.",PFRPG Core
Rayo en cadena,Evocación,,Electricidad,"Hechicero 6, Mago 6, Bruja 7, Mago 6, Ocultista 6",1 Acción estándar,"V, S, F (un poco de pelaje; un trozo de ámbar, cristal o una varilla de cristal; más un alfiler de plata por nivel de lanzador)",0,largo (400 pies + 40 pies por nivel),,,"un objetivo primario, más un objetivo/nivel secundario (cada uno debe estar a menos de 30 pies del objetivo principal)",instantáneo,0,0,Mitad reflejo,Sí,"Este hechizo genera una descarga eléctrica que comienza como una sola caricia que comienza en las yemas de tus dedos. A diferencia del rayo, el rayo en cadena golpea inicialmente un objeto o criatura y luego se desplaza hacia otros objetivos. El rayo inflige 1d6 puntos de daño eléctrico por nivel del lanzador (máximo 20d6) al objetivo principal. Después de que impacta, el rayo puede arcarse hacia un número de objetivos secundarios igual al nivel de lanzador (máximo 20). Los virotes secundarios atacan cada uno a un objetivo y causan tanto daño como el virote principal. Cada objetivo puede intentar una tirada de salvación de Reflejos para obtener la mitad de daño. La DC del Reflex para reducir a la mitad el daño de los cerrojos secundarios es 2 veces menor que la DC para reducir a la mitad el daño del cerrojo principal. Eliges objetivos secundarios como quieras, pero todos deben estar a menos de 30 pies del objetivo principal, y ningún objetivo puede ser golpeado más de una vez. Puedes elegir afectar a menos objetivos secundarios que el máximo.",PFRPG Core
Changestaff,Transmutación,,,Druida 7,1 ronda,"V, S, F (un bastón que ha sido tallado y pulido durante 28 días)",0,Toque,,,tu bastón tocado,1 hora/nivel (D),1,0,ninguno,no,"Cambias un bastón especialmente preparado por una criatura enorme parecida a un treant (véase el Bestiario del RPG Pathfinder), de unos 24 pies de altura. Cuando clavas el extremo del bastón en el suelo y das una orden especial para concluir el lanzamiento del hechizo, tu bastón se convierte en una criatura que parece y lucha igual que un treant. El bastón-treant te defiende y obedece cualquier orden verbal. Sin embargo, no es en absoluto un verdadero treant; no puede conversar con los treantes reales ni con árboles de control. Si el bastón se reduce a 0 puntos de vida o menos, se desmorona en polvo y el bastón es destruido. De lo contrario, el bastón vuelve a su forma normal cuando expira la duración del hechizo (o cuando se descarta), y puede usarse como foco para otro lanzamiento del hechizo. El bastón-treant siempre está a plena fuerza cuando se crea, a pesar de las heridas que pudiera haber sufrido la última vez que apareció.",PFRPG Core
Martillo del Caos,Evocación,,caótico,"Clérigo 4, Oráculo 4, Inquisidor 4",1 Acción estándar,"V, S",0,Medio (100 pies + 10 pies/nivel),Ráfaga de radio de 20 pies,,,instantáneo (1d6 rondas); Ver texto,0,0,Testamento parcial; Ver texto,Sí,"Desatas un poder caótico para fulminar a tus enemigos. El poder toma la forma de una explosión multicolor de energía saltando y rebotando. Solo las criaturas legales y neutrales (no caóticas) son dañadas por el hechizo. El hechizo inflige 1d8 puntos de daño por cada dos niveles de lanzador (máximo 5d8) a criaturas legales (o 1d6 puntos de daño por nivel de lanzador, máximo 10d6, a forasteros legales) y los ralentiza durante 1d6 rondas (véase el hechizo de ralentizar). Una tirada de salvación de Voluntad exitosa reduce el daño a la mitad y anula el efecto de ralentización. El hechizo hace solo la mitad del daño contra criaturas que no son ni legales ni caóticas, y no se ralentizan. Una criatura así puede reducir el daño a la mitad (hasta un cuarto) con una tirada de salvación de Voluntad exitosa.",PFRPG Core
Encantar a la Persona,Encantamiento,encanto,afectación mental,"Bardo 1, Hechicero 1, Mago 1, Bruja 1, Chamán 1, Ocultista 1, Psíquico 1, Mesmerista 1",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,una criatura humanoide,1 hora/nivel,0,0,La voluntad niega,Sí,"Este amuleto hace que una criatura humanoide te considere su amigo y aliado de confianza (trata la actitud del objetivo como amistosa). Sin embargo, si la criatura está siendo amenazada o atacada por ti o tus aliados, recibe un bono de +5 en su tirada de salvación. El hechizo no te permite controlar a la persona encantada como si fuera un autómata, pero percibe tus palabras y acciones de la manera más favorable. Puedes intentar darle órdenes al sujeto, pero debes ganar una tirada de Carisma opuesta para convencerle de hacer algo que normalmente no haría. (No se permiten repeticiones.) Una criatura afectada nunca obedece órdenes suicidas o claramente dañinas, pero podría estar convencida de que algo muy peligroso merece la pena hacer. Cualquier acto tuyo o de tus aparentes aliados que amenacen a la persona encantada rompe el hechizo. Debes hablar el idioma de la persona para comunicar tus órdenes, o de lo contrario eres bueno haciendo pantomimas.",PFRPG Core
Animal de Encanto,Encantamiento,encanto,afectación mental,"Druida 1, Explorador 1, Chamán 1, Psíquico 1",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,un animal,1 hora/nivel,0,0,La voluntad niega,Sí,"Este hechizo funciona como encantar persona, excepto que afecta a una criatura del tipo animal.",PFRPG Core
Monstruo de Encanto,Encantamiento,encanto,afectación mental,"Bardo 3, Hechicero 4, Mago 4, Bruja 4, Invocador 3, Ocultista 4, Psíquico 4, Mesmerista 3, Invocador Desencadenado 4",1 Acción estándar,"V, S",0,Cierre (25 pies + 5 pies/2 niveles),,,Un ser vivo,1 día/nivel,0,0,La voluntad niega,Sí,"Este hechizo funciona como encantar persona, excepto que el efecto no está restringido por el tipo o tamaño de la criatura.",PFRPG Core
"Monstruo de Encanto, Misa",Encantamiento,encanto,afectación mental,"Bardo 6, Hechicero 8, Mago 8, Bruja 8, Invocador 6, Invocador Desencadenado 6, Ocultista 6, Psíquico 8, Mesmerista 6",1 Acción estándar,V,0,Cierre (25 pies + 5 pies/2 niveles),,,"Una o más criaturas, ninguna de las cuales puede estar a más de 30 pies de distancia",1 día/nivel,0,0,La voluntad niega,Sí,"Este hechizo funciona como el monstruo encantado, excepto que el monstruo de encantamiento masivo afecta a varias criaturas cuyo nivel de vida combinado no supera el doble de tu nivel, o al menos a una criatura independientemente de la HD. Si hay más objetivos potenciales de los que puedes afectar, los eliges uno a uno hasta que tengas que elegir una criatura con demasiados HD para afectar.",PFRPG Core
Chill Metal,Transmutación,,Frío,"Druida 2, Ocultista 2, Psíquico 2",1 Acción estándar,"V, S, DF",0,Cierre (25 pies + 5 pies/2 niveles),,,"equipo metálico de una criatura por cada dos niveles, de los cuales no hay dos que puedan estar a más de 30 pies de distancia; o 25 libras de metal/nivel, ninguna de las cuales puede estar a más de 30 pies de distancia del resto",7 rondas,0,0,Negación de voluntad (objeto),sí (objeto),"El metal frío hace que el metal sea extremadamente frío. El metal sin vigilancia y no mágico no tiene ninguna tirada de salvación. El metal mágico tiene una tirada de salvación contra el hechizo. Un objeto en posesión de una criatura usa el bono de tirada de salvación de la criatura, a menos que el suyo sea mayor. Una criatura recibe daño de frío si su equipo está enfriado. Recibe daño completo si su armadura, escudo o arma se ven afectados. La criatura recibe daño mínimo (1 punto o 2 puntos; ver la tabla) si no lleva puesto o empuña dicho objeto. En la primera ronda del hechizo, el metal se vuelve frío e incómodo al tacto, pero no causa daño. El mismo efecto ocurre en la última ronda de la duración del hechizo. Durante la segunda (y también la penúltima ronda), el frío helado causa dolor y daños. En la tercera, cuarta y quinta ronda, el metal está helado y causa más daños, como se muestra en la tabla de abajo. Metal Redondo Daño por Temperatura 1 Frío Ninguno 2 Hielo 1d4 puntos 3-5 Congelación 2d4 puntos 6 Hielo 1d4 puntos 7 Frío Ninguno Cualquier calor lo suficientemente intenso como para dañar a la criatura anula el daño de frío del hechizo (y viceversa) punto por punto. Bajo el agua, el metal frío no causa daño, pero el hielo se forma inmediatamente alrededor del metal afectado, haciendo que flote si no está vigilado. Enfría el metal que contrarresta y disipa el metal caliente.",PFRPG Core
Toque frío,Nigromancia,,,"Hechicero 1, Mago 1, Bruja 1, Mago 1, Bruto de sangre 1, Chamán 1, Espiritualista 1",1 Acción estándar,"V, S",0,Toque,,,Criatura o criaturas tocadas (hasta uno/nivel),instantáneo,0,0,Fortaleza parcial o Voluntad nega; Ver texto,Sí,"Un toque de tu mano, que brilla con energía azul, interrumpe la fuerza vital de los seres vivos. Cada toque canaliza energía negativa que inflige 1d6 puntos de daño. La criatura tocada también recibe 1 punto de daño de Fuerza a menos que logre una tirada de salvación de Fortaleza con éxito. Puedes usar este ataque de toque cuerpo a cuerpo hasta una vez por nivel. Una criatura no-muerta que toques no recibe daño de ningún tipo, pero debe hacer una tirada de salvación de Voluntad exitosa o huir como si estuviera en pánico durante 1d4 rondas + 1 ronda por nivel de lanzador.",PFRPG Core
